"goal","dimension","region_id","score","region_label"
"MAR","score",9,,"Micronesia"
"MAR","score",10,0.14,"Nauru"
"MAR","score",11,,"Marshall Islands"
"MAR","score",12,,"Wake Island"
"MAR","score",13,0.45,"Northern Mariana Islands and Guam"
"MAR","score",14,19.39,"Taiwan"
"MAR","score",15,15.22,"Philippines"
"MAR","score",16,11.01,"Australia"
"MAR","score",17,0.01,"Papua New Guinea"
"MAR","score",18,0.04,"Fiji"
"MAR","score",19,0,"Tuvalu"
"MAR","score",20,63.68,"South Korea"
"MAR","score",21,15.51,"North Korea"
"MAR","score",24,11.75,"Cambodia"
"MAR","score",25,98.8,"Thailand"
"MAR","score",26,,"Andaman and Nicobar"
"MAR","score",28,,"Comoro Islands"
"MAR","score",29,0.74,"Mayotte"
"MAR","score",30,,"Glorioso Islands"
"MAR","score",31,0,"Seychelles"
"MAR","score",32,0.13,"R_union"
"MAR","score",33,,"Juan de Nova Island"
"MAR","score",34,,"Bassas da India"
"MAR","score",35,,"Ile Europa"
"MAR","score",36,,"Ile Tromelin"
"MAR","score",37,1,"Mauritius"
"MAR","score",38,,"British Indian Ocean Territory"
"MAR","score",39,,"Maldives"
"MAR","score",40,0.21,"Sri Lanka"
"MAR","score",41,0.1,"Mozambique"
"MAR","score",42,0.69,"Madagascar"
"MAR","score",43,0,"Kenya"
"MAR","score",44,,"Somalia"
"MAR","score",45,0,"Eritrea"
"MAR","score",46,,"Djibouti"
"MAR","score",47,,"Yemen"
"MAR","score",48,0.19,"Oman"
"MAR","score",49,,"Sudan"
"MAR","score",50,20,"Saudi Arabia"
"MAR","score",51,0.01,"Kuwait"
"MAR","score",52,0,"Bahrain"
"MAR","score",53,0.01,"Pakistan"
"MAR","score",54,0.53,"United Arab Emirates"
"MAR","score",55,,"Azores"
"MAR","score",56,,"Cape Verde"
"MAR","score",57,,"Madeira"
"MAR","score",58,,"Canary Islands"
"MAR","score",59,,"Belgium"
"MAR","score",60,,"Gibraltar"
"MAR","score",61,3.06,"Tunisia"
"MAR","score",62,0.05,"Morocco"
"MAR","score",63,,"Western Sahara"
"MAR","score",64,,"Mauritania"
"MAR","score",65,0.09,"Gambia"
"MAR","score",66,0.03,"Senegal"
"MAR","score",67,0.19,"Libya"
"MAR","score",68,19.33,"Malta"
"MAR","score",69,,"Latvia"
"MAR","score",70,0,"Estonia"
"MAR","score",71,0,"Bulgaria"
"MAR","score",72,0.02,"Romania"
"MAR","score",73,4,"Russia"
"MAR","score",74,,"Georgia"
"MAR","score",75,0.06,"Ukraine"
"MAR","score",76,11.29,"Turkey"
"MAR","score",77,,"Syria"
"MAR","score",78,0.02,"Lebanon"
"MAR","score",79,0.84,"Israel"
"MAR","score",80,28.92,"Greece"
"MAR","score",81,15.46,"Cyprus"
"MAR","score",82,3.66,"Albania"
"MAR","score",84,0.01,"Algeria"
"MAR","score",85,,"Ascension"
"MAR","score",86,,"Saint Helena"
"MAR","score",88,,"Tristan da Cunha"
"MAR","score",89,,"South Georgia and the South Sandwich Islands"
"MAR","score",90,,"Prince Edward Islands"
"MAR","score",91,,"Crozet Islands"
"MAR","score",92,,"Amsterdam Island and Saint Paul Island"
"MAR","score",93,,"Kerguelen Islands"
"MAR","score",94,,"Heard and McDonald Islands"
"MAR","score",95,0,"Falkland Islands"
"MAR","score",96,,"Sierra Leone"
"MAR","score",97,,"Liberia"
"MAR","score",98,,"Togo"
"MAR","score",99,,"Benin"
"MAR","score",100,,"Republique du Congo"
